# note: fix inconsistency with [l / y] in ~100 words. some words should be <l y> in single syllable.
# note: fix inconsistency with [* / r] in ~100 words. some words should be <* r> in single syllable.

I                                            ay
administer                                   ax d / m ih / n ax / s t er
administration                               ax d / m ih / n ax / s t r ey / sh ax n
administrative                               ax d / m ih / n ax / s t r ax / dx ih v
administratively                             ax d / m ih / n ax / s t r ax / dx ih v / l iy
administrator                                ax d / m ih / n ax / s t r ey / dx er
admirable                                    ae d / m ax / r ax / b ax l
admirably                                    ae d / m ax / r ax / b l iy
admiral                                      ae d / m er / ax l
admiralty                                    ae d / m er / ax l / t iy
admiration                                   ae d / m ax / r ey / sh ax n
admire                                       ax d / m ay r
admirer                                      ax d / m ay / r er
admiring                                     ax d / m ay / r ih ng
admiringly                                   ax d / m ay / r ih ng / l iy
admissibility                                ax d / m ih / s ax / b ih / l ax / dx iy
admissible                                   ax d / m ih / s ax / b ax l
admission                                    ax d / m ih / sh ax n
admissions                                   ax d / m ih / sh ax n z
admit                                        ax d / m ih t
admittance                                   ax d / m ih / dx ax n s
admittedly                                   ax d / m ih / dx ih d / l iy
admixture                                    ax d / m ih k s / t sh er
admonish                                     ax d / m aa / n ih sh
admonishment                                 ax d / m aa / n ih sh
admonition                                   ae d / m ax / n ih / sh ax n
admonitory                                   ax d / m aa / n ax / t ao / r iy
adnexal                                      ae d / n eh k / s ax l
ado                                          ax / d uw
adobe                                        ax / d ow / b iy
adolescence                                  ae / d ax / l eh / s ax n s
adolescent                                   ae / d ax / l eh / s ax n t
adonis                                       ax / d aa / n ih s
adonises                                     ax / d aa / n ih s
adopt                                        ax / d aa p t
adoptable                                    ax / d aa p / t ax / b ax l
adoptee                                      ax / d aa p / t iy
adoption                                     ax / d aa p / sh ax n
adoptive                                     ax / d aa p / t ih v
adorable                                     ax / d ao / r ax / b ax l
adoration                                    ae / d ax / r ey / sh ax n
adore                                        ax / d ao r
adoring                                      ax / d ao / r ih ng
adoringly                                    ax / d ao / r ih ng / l iy
adorn                                        ax / d ao r n
adornment                                    ax / d ao r n / m ax n t
adrenal                                      ax / d r iy / n ax l
adrenalectomy                                ax / d r iy / n ax / l eh k / t ax / m iy
adrenalin                                    ax / d r eh / n ax / l ih n
adrenaline                                   ax / d r eh / n ax / l ax n
adrenocortical                               ax / d r iy / n ow / k ao r / dx ax / k ax l
adrift                                       ax / d r ih f t
adroit                                       ax / d r oy t
adroitly                                     ax / d r oy t / l iy
adroitness                                   ax / d r oy t / n ax s
adsorb                                       ae d / z ao b
adsorbent                                    ae d / z ao / b ax n t
adsorption                                   ae d / z ao p sh ax n
adulate                                      ae / d zh ax / l ey t
adulation                                    ae / d zh ax / l ey / sh ax n
adulatory                                    ae / d zh ax / l ax / t ao / r iy
adult                                        ae / d ah l t
adulterate                                   ax / d ah l / t ax / r ey t
adulteration                                 ax / d ah l / t ax / r ey / sh ax n
adulterer                                    ax / d ah l / t er / er
adulteress                                   ax / d ah l / t er / ax s
adulteresses                                 ax / d ah l / t er / ax s
adulterous                                   ax / d ah l / t er / ax s
adultery                                     ax / d ah l / t er / iy
adulthood                                    ae / d ah l t / hh uh d
adumbrate                                    ae / d ax m / b r ey t
adumbration                                  ae / d ax m / b r ey / sh ax n
advance                                      ax d / v ae n s
advancement                                  ax d / v ae n s / m ax n t
advancer                                     ax d / v ae n s er
advances                                     ax d / v ae n s
advancing                                    ax d / v ae n / s ih ng
advantage                                    ax d / v ae n / dx ih d zh
advantageous                                 ae d / v ae n / t ey / d zh ax s
advantageously                               ae d / v ae n / t ey / d zh ax s / l iy
advection                                    ax d / v eh k / sh ax n
advent                                       ae d / v eh n t
adventist                                    ae d / v eh n / t ih s t
adventitious                                 ae d / v ax n / t ih / sh ax s
adventitiously                               ae d / v ax n / t ih / sh ax s / l iy
adventure                                    ax d / v eh n / t sh er
adventurer                                   ax d / v eh n / t sh er / er
adventuresome                                ax d / v eh n / t sh er / ax s
adventurous                                  ax d / v eh n / t sh er / ax s
adventurously                                ax d / v eh n / t sh er / ax s / l iy
